Part,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
2,50.0,43.0,140.0,2846.51,62.0,-80.0,120.0,43.75,1.27,34.77,10132.3,49.19,60.43,57.9,57.45,34.39,136.59,1776.26,44.86,33.61,80,1551.88,61.16,1.24,120.23,62.58,39.66,70,-80.2,1
0,50.0,43.0,118.0,2404.65,69.0,-79.08,120.0,64.26,1.07,46.27,9402.08,50.86,66.65,66.65,65.88,46.87,117.9,2083.66,47.55,30.15,80,2686.77,68.11,0.76,134.95,64.72,43.68,71,-78.81,1
0,50.0,43.0,118.0,2404.65,72.0,-76.78,120.0,70.15,1.07,46.71,9382.62,49.35,66.81,67.26,65.88,46.94,117.9,1635.54,43.51,29.44,80,1436.45,71.23,0.76,119.91,65.3,83.6,74,-76.32,1
2,25.0,43.0,140.0,2704.19,69.0,-43.05,120.0,1.58,1.3,26.65,9985.08,39.29,56.17,60.94,44.28,25.57,140.47,1429.96,46.75,25.38,80,1507.13,66.34,1.27,119.91,79.82,86.29,92,-37.9,1
0,25.0,43.0,120.0,2404.65,72.0,-45.0,120.0,22.5,1.27,34.77,9197.15,25.74,55.37,55.98,38.33,31.41,119.64,1802.2,45.22,27.42,80,1500.65,67.81,0.94,119.91,66.94,87.75,70,-77.39,1
0,50.0,43.0,120.0,2404.65,72.0,-67.3,120.0,53.43,1.27,45.82,9389.11,49.51,66.04,67.03,65.59,45.38,119.64,1635.54,44.32,30.15,80,2398.18,73.47,0.94,119.91,66.33,83.95,76,-69.65,0
0,50.0,43.0,120.0,2404.65,71.0,-67.76,120.0,58.85,1.3,46.19,9382.62,50.89,67.96,67.03,67.93,46.64,119.64,1680.29,44.6,29.0,80,1507.13,73.47,0.94,120.23,66.26,83.69,75,-70.68,0
2,50.0,43.0,135.0,2538.14,80.0,-47.22,120.0,65.23,1.35,59.75,10215.95,50.41,63.67,70.53,57.17,59.51,134.84,1519.46,44.83,28.74,80,1525.94,79.77,1.27,119.91,76.71,78.1,88,-46.71,0
1,50.0,42.0,125.0,2435.71,60.0,-45.0,120.0,10.51,1.1,54.56,9331.39,53.87,64.89,69.66,47.52,53.67,125.31,1276.26,43.16,30.82,80,2218.55,69.41,1.25,120.23,77.74,11.96,89,-46.36,0
0,25.0,42.0,125.0,2214.29,5.0,-45.0,120.0,21.49,1.26,38.65,9094.68,24.36,56.78,56.17,33.78,33.2,124.96,1808.69,45.12,27.29,80,2577.82,59.92,0.91,120.56,51.4,51.22,74,-59.05,0
2,25.0,43.0,100.0,2941.4,70.0,-46.67,60.0,1.62,1.34,49.93,10029.83,24.42,53.9,61.56,38.36,44.75,100.28,1802.2,50.66,26.72,80,4134.89,76.17,1.26,59.99,75.18,81.3,87,-47.78,0
2,50.0,43.0,100.0,2941.4,82.0,-36.37,120.0,31.59,1.34,54.64,10196.5,50.79,61.88,73.99,59.7,54.64,100.28,1590.79,46.4,27.22,68,4243.84,89.23,1.33,119.91,78.99,79.29,92,-36.83,0
2,50.0,42.36,135.0,3083.72,68.0,-79.94,120.0,55.89,1.25,33.08,9998.05,49.16,59.47,68.09,55.18,33.31,135.19,1763.94,44.73,28.1,80,1507.13,64.54,1.24,120.23,59.92,84.91,67,-80.2,0
1,50.0,42.0,125.0,2170.0,68.0,-66.87,120.0,54.99,1.15,46.27,9184.18,50.54,60.65,66.43,62.71,44.7,125.31,1725.03,44.57,28.97,80,1494.16,67.74,1.28,119.91,69.34,31.6,78,-66.83,0
2,25.0,43.0,90.0,3083.72,5.0,-45.0,120.0,3.99,1.34,52.79,9998.05,25.35,56.56,65.98,35.89,51.47,90.07,2205.58,52.58,27.59,80,2500.65,86.68,1.35,119.91,79.31,79.88,90,-44.25,0
0,50.0,42.47,120.0,2404.65,56.0,-78.09,120.0,73.31,1.27,41.57,9510.38,50.5,64.79,67.71,64.44,39.03,120.36,1769.78,48.42,27.36,80,2462.39,55.64,1.21,121.21,73.93,45.88,70,-58.34,0
0,25.0,42.47,125.0,2404.65,70.0,-45.0,125.0,41.12,1.27,24.39,9164.72,25.64,56.17,50.28,36.02,16.4,124.96,3263.29,58.57,26.01,80,2173.8,64.99,1.21,124.09,68.25,86.54,75,-68.22,0
1,50.0,42.0,115.0,1992.86,66.0,-75.38,120.0,48.04,1.2,45.52,9299.61,50.34,63.83,63.64,63.8,45.6,114.72,2141.37,52.26,28.33,80,2487.68,66.44,1.22,122.15,80.36,84.0,78,-36.51,0
1,50.0,42.0,115.0,1992.86,66.0,-80.0,125.0,47.72,1.2,45.52,9286.64,50.79,63.83,63.64,63.8,45.6,115.08,2167.32,53.13,28.4,80,2629.05,61.23,1.22,126.01,79.57,83.97,82,-37.19,0
2,50.0,43.0,140.0,2846.51,83.0,-45.7,120.0,49.44,1.36,40.19,10113.49,50.69,60.46,70.18,58.26,40.5,140.47,1564.85,48.04,28.1,80,1744.49,81.2,1.3,119.91,78.8,83.01,89,-43.89,0
2,25.0,41.0,130.0,2239.02,80.0,-45.0,85.0,4.07,1.28,51.78,10209.47,25.51,63.99,77.58,29.71,51.63,154.56,1853.44,50.18,29.78,80,2160.83,88.63,1.33,78.24,79.66,36.95,92,-38.62,0
1,25.0,42.0,125.0,2035.71,72.0,-58.37,130.0,1.65,1.28,21.03,9318.42,25.74,56.78,52.55,37.98,21.03,125.31,1084.31,54.06,30.28,80,2385.21,75.65,1.25,130.16,67.26,90.74,77,-67.86,0
