Part,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
0,3,41.09,118.44,2186.05,67.0,-79.82,125.0,46.38,1.27,49.03,9407.91,48.16,59.18,66.49,67.23,49.03,119.64,2096.63,48.45,33.31,3,1942.93,64.92,1.13,125.03,64.79,44.61,70,-80.2,0
0,3,41.09,118.44,2186.05,67.0,-79.82,125.0,31.73,1.28,48.74,9433.85,47.84,57.74,68.73,66.72,46.34,118.57,2096.63,47.87,31.26,3,1872.24,66.8,1.22,124.71,64.79,44.46,69,-80.56,0
0,3,41.09,125.0,2186.05,67.0,-79.82,125.0,26.08,1.28,48.74,9420.88,44.67,57.42,68.73,66.72,43.59,118.93,2109.6,47.87,29.24,3,2288.59,60.65,1.22,125.03,61.97,43.91,68,-80.2,0
0,3,41.09,125.0,2186.05,67.0,-79.72,125.0,19.7,1.28,43.51,9402.08,45.44,57.42,68.48,66.72,45.9,125.31,1706.23,43.87,31.3,3,1365.76,65.21,1.22,125.03,61.97,42.05,70,-80.2,0
1,3,39.0,90.0,2335.9,65.0,-80.0,120.0,47.41,1.53,54.63,9119.97,57.49,59.89,78.76,67.58,53.88,89.0,1142.02,13.08,24.06,3,692.61,-14.53,1.09,119.91,70.75,13.8,71,-71.75,0
1,3,39.0,90.0,2335.9,65.0,-79.67,120.0,35.31,1.53,55.38,9126.46,57.74,58.09,75.43,67.58,55.53,89.72,1372.24,21.67,61.77,3,853.44,49.25,1.09,119.91,64.47,22.68,74,-79.49,0
1,3,39.0,90.0,2335.9,65.0,-79.34,120.0,35.64,1.53,55.38,9126.46,57.74,58.09,75.43,67.58,55.46,89.36,1378.73,21.32,63.38,3,885.86,55.49,1.09,119.91,64.47,22.58,74,-79.49,0
1,3,39.0,90.0,2335.9,65.0,-79.92,120.0,35.42,1.53,55.38,9088.2,57.74,58.09,75.43,67.58,55.53,89.36,1359.27,21.32,64.37,3,885.86,55.49,1.09,119.91,64.47,22.58,74,-79.49,0
1,3,39.0,90.0,2335.9,65.0,-79.37,120.0,24.59,1.53,55.0,9632.3,58.51,53.23,75.43,66.75,54.56,90.4,1974.71,56.81,43.88,3,2032.43,63.32,1.09,118.94,64.15,37.4,77,-80.2,0
1,3,39.0,90.0,2335.9,65.0,-77.08,120.0,24.83,1.53,55.0,9574.58,58.51,53.23,75.43,66.75,54.56,90.07,1891.7,90.55,33.82,3,2045.4,68.25,1.09,119.26,64.15,37.11,77,-79.85,0
1,3,39.0,90.0,2335.9,65.0,-76.04,120.0,23.57,1.53,55.0,9581.06,58.32,53.23,75.43,66.75,54.41,90.07,1827.5,101.73,40.35,3,2134.89,66.22,1.09,120.23,64.15,36.6,73,-78.81,0
1,3,39.0,90.0,2335.9,65.0,-80.0,120.0,22.61,1.53,55.0,9587.55,57.45,53.23,75.43,66.75,54.41,90.75,1782.75,100.04,51.21,3,1160.83,62.39,1.09,120.23,64.47,36.59,72,-79.85,0
1,3,39.0,90.0,2335.9,58.0,-80.0,120.0,22.06,1.53,55.0,9587.55,47.33,53.23,75.43,66.75,54.34,89.72,1789.23,89.69,55.99,3,1789.23,60.93,1.09,120.23,64.47,36.47,73,-80.2,0
1,3,39.0,90.0,2335.9,58.0,-72.25,120.0,20.8,1.53,55.0,9612.84,47.49,53.23,75.43,66.75,54.41,89.0,1815.18,52.42,53.1,3,2103.11,61.81,1.09,120.23,64.47,36.97,74,-77.39,0
1,3,39.0,90.0,2335.9,58.0,-57.16,120.0,18.27,1.53,55.0,9574.58,58.45,53.23,68.25,66.75,54.26,89.72,1846.95,65.3,48.05,3,1597.28,63.32,1.09,120.23,65.53,37.23,76,-68.93,0
1,3,39.0,90.0,2335.9,58.0,-44.69,120.0,16.27,1.53,55.0,9612.84,46.59,53.23,68.25,66.75,54.26,90.07,1872.24,89.98,44.21,3,2603.11,63.61,1.09,120.23,65.53,38.03,79,-57.63,0
1,3,39.0,80.0,2335.9,58.0,-44.69,120.0,16.13,1.53,55.0,9734.76,58.32,53.23,68.25,66.75,54.26,90.07,1872.24,88.63,44.11,3,2603.11,63.61,1.09,120.23,65.53,38.01,81,-56.56,0
1,3,39.0,80.0,2335.9,58.0,-41.91,120.0,16.06,1.53,55.0,9850.84,49.99,53.23,68.25,66.75,54.19,81.94,1878.73,57.13,43.61,3,2385.21,61.59,1.09,120.23,74.5,38.28,82,-54.45,0
1,3,39.0,80.0,2335.9,58.0,-39.09,120.0,8.9,1.53,53.36,10023.35,46.24,53.23,68.25,66.75,53.36,79.84,2071.34,53.93,41.89,3,2513.62,58.97,1.09,119.91,77.64,43.75,88,-43.18,0
1,3,39.0,80.0,2335.9,58.0,-38.18,120.0,8.9,1.53,53.36,10023.35,46.24,53.23,68.25,66.75,53.36,79.84,2071.34,53.93,41.89,3,2513.62,58.97,1.09,119.91,77.64,43.75,88,-43.18,0
